JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29372557_156	2025-08-22T19:59:41	puhti	COMPLETED	37	0:0	mariaosm	mariaosm		1	1		10485760K	5813K	01:00:00	37	
29372555_100	2025-08-22T19:58:42	puhti	COMPLETED	41	0:0	mariaosm	mariaosm		1	1		10485760K	5996K	01:00:00	41	
29372566_334	2025-08-22T20:00:35	puhti	COMPLETED	23	0:0	mariaosm	mariaosm		1	1		10485760K	3274K	01:00:00	23	
29372557_170	2025-08-22T19:59:41	puhti	COMPLETED	136	0:0	mariaosm	mariaosm		1	1	02:12.378	10485760K	5795K	01:00:00	136	
29372557_157	2025-08-22T19:59:41	puhti	COMPLETED	30	0:0	mariaosm	mariaosm		1	1		10485760K	5981K	01:00:00	30	
29372566_335	2025-08-22T20:00:35	puhti	COMPLETED	547	0:0	mariaosm	mariaosm		1	1	08:54.573	10485760K	6439K	01:00:00	547	
29372557_171	2025-08-22T19:59:41	puhti	COMPLETED	66	0:0	mariaosm	mariaosm		1	1	01:03.382	10485760K	5786K	01:00:00	66	
29372557_158	2025-08-22T19:59:41	puhti	COMPLETED	33	0:0	mariaosm	mariaosm		1	1		10485760K	5746K	01:00:00	33	
29372566_336	2025-08-22T20:00:35	puhti	COMPLETED	63	0:0	mariaosm	mariaosm		1	1		10485760K	6259K	01:00:00	63	
29372557_172	2025-08-22T19:59:41	puhti	COMPLETED	149	0:0	mariaosm	mariaosm		1	1	02:13.629	10485760K	5925K	01:00:00	149	
29372557_159	2025-08-22T19:59:41	puhti	COMPLETED	37	0:0	mariaosm	mariaosm		1	1		10485760K	5747K	01:00:00	37	
29372566_350	2025-08-22T20:00:35	puhti	CANCELLED	3609	0:0	mariaosm	mariaosm		1	1		10485760K	773766K	01:00:00	3612	01:00:07
29372566_337	2025-08-22T20:00:35	puhti	COMPLETED	1452	0:0	mariaosm	mariaosm		1	1	23:57.335	10485760K	6057K	01:00:00	1452	
29372557_173	2025-08-22T19:59:41	puhti	COMPLETED	78	0:0	mariaosm	mariaosm		1	1	01:04.333	10485760K	5952K	01:00:00	78	
29372566_351	2025-08-22T20:00:35	puhti	COMPLETED	163	0:0	mariaosm	mariaosm		1	1	02:23.323	10485760K	5733K	01:00:00	163	
29372566_338	2025-08-22T20:00:35	puhti	COMPLETED	3420	0:0	mariaosm	mariaosm		1	1	56:39.079	10485760K	6159K	01:00:00	3420	
29372557_174	2025-08-22T19:59:41	puhti	COMPLETED	176	0:0	mariaosm	mariaosm		1	1	02:22.296	10485760K	5734K	01:00:00	176	
29372566_352	2025-08-22T20:00:35	puhti	COMPLETED	76	0:0	mariaosm	mariaosm		1	1		10485760K	5694K	01:00:00	76	
29372566_339	2025-08-22T20:00:35	puhti	COMPLETED	105	0:0	mariaosm	mariaosm		1	1	01:33.699	10485760K	5998K	01:00:00	105	
29372557_175	2025-08-22T19:59:41	puhti	COMPLETED	47	0:0	mariaosm	mariaosm		1	1		10485760K	6120K	01:00:00	47	
29372566_353	2025-08-22T20:00:35	puhti	COMPLETED	563	0:0	mariaosm	mariaosm		1	1	09:03.010	10485760K	5717K	01:00:00	563	
29372557_176	2025-08-22T19:59:41	puhti	COMPLETED	498	0:0	mariaosm	mariaosm		1	1	08:14.646	10485760K	6277K	01:00:00	498	
29372566_354	2025-08-22T20:00:35	puhti	COMPLETED	29	0:0	mariaosm	mariaosm		1	1		10485760K	3210K	01:00:00	29	
