JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29907097_42	2025-09-30T13:15:20	puhti	COMPLETED	52	0:0	mariaosm	mariaosm		1	1		52428800K	6075K	00:30:00	52	
29907097_29	2025-09-30T13:15:20	puhti	COMPLETED	41	0:0	mariaosm	mariaosm		1	1		52428800K	6075K	00:30:00	41	
29907097_181	2025-09-30T13:15:20	puhti	COMPLETED	1057	0:0	mariaosm	mariaosm		1	1	17:10.243	52428800K	6092K	00:30:00	1057	
29907097_168	2025-09-30T13:15:20	puhti	COMPLETED	593	0:0	mariaosm	mariaosm		1	1	09:22.049	52428800K	8404797K	00:30:00	593	
29907097_43	2025-09-30T13:15:20	puhti	COMPLETED	65	0:0	mariaosm	mariaosm		1	1	01:00.701	52428800K	6242K	00:30:00	65	
29907097_182	2025-09-30T13:15:20	puhti	COMPLETED	1295	0:0	mariaosm	mariaosm		1	1	21:03.677	52428800K	6521K	00:30:00	1295	
29907097_169	2025-09-30T13:15:20	puhti	COMPLETED	642	0:0	mariaosm	mariaosm		1	1	09:05.941	52428800K	8404804K	00:30:00	642	
29907097_44	2025-09-30T13:15:20	puhti	COMPLETED	57	0:0	mariaosm	mariaosm		1	1		52428800K	6520K	00:30:00	57	
29907097_183	2025-09-30T13:15:20	puhti	COMPLETED	1495	0:0	mariaosm	mariaosm		1	1	24:32.241	52428800K	6134K	00:30:00	1495	
29907097_45	2025-09-30T13:15:20	puhti	COMPLETED	113	0:0	mariaosm	mariaosm		1	1	01:38.749	52428800K	6122K	00:30:00	113	
29907097_184	2025-09-30T13:15:20	puhti	COMPLETED	1722	0:0	mariaosm	mariaosm		1	1	28:12.852	52428800K	6370K	00:30:00	1722	
29907097_46	2025-09-30T13:15:20	puhti	COMPLETED	138	0:0	mariaosm	mariaosm		1	1	01:24.744	52428800K	6312K	00:30:00	139	
