data_ID	filenames	type	total_sequences	total_bases_raw	total_bases	poor_quality_sequences	sequence_length	pct_gc	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
GATA3_FLI1_3_YYIII_TGCGGA40NCGA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA3_FLI1_3_YYIII_TGCGGA40NCGA.fastq.gz	signal	261255	10.4 Mbp	10400000	0	40	52	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA3_TEAD4_3_YJII_TGCGGA40NCGA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA3_TEAD4_3_YJII_TGCGGA40NCGA.fastq.gz	signal	184485	7.3 Mbp	7300000	0	40	45	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA4_TBX20_3_YWIIII_TATAAC40NCGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA4_TBX20_3_YWIIII_TATAAC40NCGG.fastq.gz	signal	206407	8.2 Mbp	8199999.999999999	0	40	50	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA4_TBX21_3_YYI_TTATGA40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA4_TBX21_3_YYI_TTATGA40NCAG.fastq.gz	signal	240843	9.6 Mbp	9600000	0	40	46	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	FAIL	WARN	PASS
GATA5_TBX20_3_YWIIII_TTAGAC40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA5_TBX20_3_YWIIII_TTAGAC40NCAG.fastq.gz	signal	136464	5.4 Mbp	5400000	0	40	49	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	WARN	WARN	PASS
GATA5_TEAD4_3_YJII_TTAGAC40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA5_TEAD4_3_YJII_TTAGAC40NCAG.fastq.gz	signal	205823	8.2 Mbp	8199999.999999999	0	40	46	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	FAIL	WARN	PASS
GATA6_ELF5_3_YYI_TCGCGA40NCATT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA6_ELF5_3_YYI_TCGCGA40NCATT.fastq.gz	signal	229387	9.1 Mbp	9100000	0	40	45	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA6_FOXA1_3_YWII_TCGCGA40NCATT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA6_FOXA1_3_YWII_TCGCGA40NCATT.fastq.gz	signal	252212	10 Mbp	10000000	0	40	44	PASS	PASS	WARN	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA6_FOXD2_3_YWI_TGACCA40NTCC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA6_FOXD2_3_YWI_TGACCA40NTCC.fastq.gz	signal	217928	8.7 Mbp	8700000	0	40	44	PASS	PASS	FAIL	PASS	FAIL	WARN	PASS	PASS	WARN	PASS	PASS
GATA6_SOX11_3_YUIII_TCGCGA40NCATT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA6_SOX11_3_YUIII_TCGCGA40NCATT.fastq.gz	signal	209555	8.3 Mbp	8300000.000000001	0	40	43	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
